spelling	phoneme_list
a	æ, eɪ, ɑː, ɛə, ɒ, ɔː, ə, ɪ, ɛ
aa	ɑː
ah	ɑː
ae	iː, ɛə
ai	eɪ, ɛə, ɪ, ə
ao	aʊ
au	ɔː
aw	ɔː
ay	eɪ
e	iː, ɛ, ɜː, ɪə, ə, Ø
ea	iː, ɛ, ɜː, ɪə
eau	oʊ
ee	iː, ɪə
ei	eɪ, iː, ɛə, ɪ, ə
ey	eɪ, iː, ɛə, ɪ, ə
eu	juː, uː, jʊə
ew	juː, uː, jʊə
ieu	juː, uː, jʊə
iew	juː, uː, jʊə
i	aɪ, ɪ, aɪə, ɜː, ə
ie	aɪ, iː, ɪə
o	ɒ, oʊ, ɔː, ɜː, ə
oa	oʊ, ɔː
oe	iː, oʊ, ɪ
oeu	uː
oi	ɔɪ, wɑː
oo	uː, ʊ, ɔː
ou	aʊ, ɔː, ə
ow	aʊ, oʊ
oy	ɔɪ
u	ʌ, juː, uː, ɜː, Ø, w, ə
ue	Ø, uː, juː
ui	wɪ, uː, ɪ
uu	juə
uy	aɪ
y	ɪ, aɪ, ɜː, aɪə, ɪ, iː
