spelling	phoneme	word_s	word_p	word_tr
i	ɪ	bitte	bɪtə	please
i	iː	Benzin	bɛnt͡siːn	petrol
ie	iː	Liebe	liːbə	love
ih	iː	ihn	iːn	him		
ieh	iː	flieht	fliːt	flies		
y	ʏ	typisch	ˈtypɪʃ	typical
y	yː	Typ	tyːp	type
ü	ʏ	müssen	mʏsn̩	to have to
ü	yː	über	yːbɐ	above
üh	yː	Bühne	byːnə	theatre
u	ʊ	Mutter	mʊtɐ	mother
u	uː	Hut	huːt	hat
uh	uː	Stuhl	ʃtuːl	chari
ö	œ	öffnen	œfnən	open
ö	øː	Lösung	løːzʊŋ	solution
öh	øː	fröhlich	fʀøːlɪç	cheerful		
o	ɔ	Problem	pʀobleːm	problem
o	oː	Tod	toːt	death
oh	oː	Wohnung	voːnʊŋ	apartment
oo	oː	Boot	boːt	Boat
e	ə	Name	naːmə	name
e	ɛ	Bett		
e	e			
e	eː	eben		
ä	ɛ	hätte		
ä	ɛː	spät		
ä	eː			
äh	ɛː	wählen		
äh	eː			
eh	eː	gehen		
ee	eː	See		
a	a	Wasser		
a	aː	Wagen		
ah	aː	sah		
aa	aː			
au	aʊ	auf		
eu	ɔʏ	Euro		
äu	ɔʏ	Häuser		
ei	aɪ	ein		
ai	aɪ			
ey	aɪ			
ay	aɪ			
